"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"1","Hemerodromiinae","07SFS011059",0.244444444444444,0.078125,0.353850973809653,-156.9921875,"none",6,10.875
"2","Hemerodromiinae","07SFS011475",-0.377777777777778,0,0.0730380507282532,0,"none",3,2.03571428571429
"3","Hemerodromiinae","08BEA3312",0.0784313725490196,0.007716049382716,0.674796393170618,-14.9153645833332,"none",14,22.4326789347348
"4","Hemerodromiinae","08BEA3321",-0.181818181818182,-0.0194931773879142,0.478593692972351,39.6150097465886,"none",8,7.02923398747198
"5","Hemerodromiinae","08BEA3474",0.444444444444444,1.25,0.0100050898168569,-2507.5,"positive",13,240.625
"6","Hemerodromiinae","08BEA3478",-0.309090909090909,-0.227272727272728,0.212911902811505,460.59090909091,"none",11,52.5631210894369
"7","Hemerodromiinae","08BEA3571",-0.221052631578947,0,0.116243276758695,0,"none",7,20
"8","Hemerodromiinae","08BEA3650",-0.142105263157895,-0.0922619047619044,0.394488299485275,187.822916666666,"none",15,87.5863095238095
"9","Hemerodromiinae","08BEA3737",-0.169590643274854,-0.0649350649350649,0.321694220707375,131.428571428571,"none",14,33.9656875431332
"10","Hemerodromiinae","08BEA3747",0.00952380952380952,0,0.975858599436706,4.93421052631579,"none",18,255.230913823019
"11","Hemerodromiinae","08BEA3826",-0.196078431372549,-0.0892857142857144,0.270742590646016,181.825396825397,"none",15,64.7734369066606
"12","Hemerodromiinae","08CED2433",-0.339869281045752,-0.196428571428572,0.0527619652460993,397.904075091576,"none",15,88.6155615218116
"13","Hemerodromiinae","08CED2518",-0.0666666666666667,-0.0125,0.858027656987521,26.0316870629371,"none",9,13.3776598401598
"14","Hemerodromiinae","08CED2711",-0.127272727272727,0,0.547838316539747,0,"none",3,4.65544871794872
"15","Hemerodromiinae","08CED2898",-0.362637362637363,-0.0238095238095238,0.0507607766761997,48,"none",6,8.68192640692642
"16","Hemerodromiinae","08CED4192",-0.0761904761904762,0,0.601728295084129,0,"none",8,10.2833333333333
"17","Hemerodromiinae","08CED4975",-0.0659340659340659,0,0.768797504548746,0.25,"none",7,10.2880452880453
"18","Hemerodromiinae","08CED5032",0.0915032679738562,0,0.495232639428152,0,"none",4,1.75069705513785
"19","Hemerodromiinae","08CED5046",-0.287878787878788,0,0.0545490452421435,0,"none",2,1.05128205128205
"20","Hemerodromiinae","08EAS1536",-0.05,0,0.765358157591117,0,"none",4,2.27717391304348
"21","Hemerodromiinae","08EAS1964",0.0666666666666667,0.0535714285714286,0.752641982768185,-103.129464285714,"none",16,84.493722943723
"22","Hemerodromiinae","08EAS2058",-0.156862745098039,-0.0487012987012991,0.382625981525005,100.614412761153,"none",18,75.5030866778149
"23","Hemerodromiinae","08EAS2191",-0.228571428571429,0,0.0556892966853412,0,"none",5,6.37430006587615
"24","Hemerodromiinae","08EAS2272",0.215789473684211,0,0.0609501875194249,0,"none",4,10.875
"25","Hemerodromiinae","08EAS2446",0.150326797385621,0,0.317477097001999,0,"none",6,3.80458959899749
"26","Hemerodromiinae","08EAS2540",-0.378787878787879,-0.00559065029173725,0.0643415180961755,11.2707509881423,"none",5,1.90962027103331
"27","Hemerodromiinae","08EAS2546",0.0454545454545455,0,0.877491071908271,0,"none",5,8.98149585921326
"28","Hemerodromiinae","08EAS2631",-0.331578947368421,-0.0375939849624061,0.0308840909950587,75.7941729323309,"negative",10,15.6904239766082
"29","Hemerodromiinae","08EVA3555",0,0,1,5,"none",10,53.5470085470085
"30","Hemerodromiinae","08EVA3637",0.141025641025641,0.0725490196078432,0.539020328804109,-145.042296918768,"none",10,30.5637573211103
"31","Hemerodromiinae","08EVA3640",-0.444444444444444,-0.140625,0.0879614743080801,285.486778846154,"none",9,32.1892439668175
"32","Hemerodromiinae","08EVA3642",-0.309090909090909,-0.0694444444444444,0.210126846669274,140.591666666667,"none",9,10.7037672098017
"33","Hemerodromiinae","08EVA3813",0.158333333333333,0,0.368319723623509,0,"none",7,8.11359904463353
"34","Hemerodromiinae","08ISS3877",-0.12280701754386,-0.363520408163266,0.484107537792662,742.335380633192,"none",18,382.878283538818
"35","Hemerodromiinae","08ISS3958",0.181818181818182,0.11656746031746,0.482191660954938,-232.542162698413,"none",9,24.6066919191919
"36","Hemerodromiinae","08ISS3962",0.0760233918128655,0.0980392156862747,0.674611943553671,-189.604826546003,"none",19,225.291443529425
"37","Hemerodromiinae","08ISS4294",0.0760233918128655,0,0.655391533075629,0.234375,"none",10,11.3827597840756
"38","Hemerodromiinae","08ISS4573",-0.0368421052631579,0,0.842937520066732,1.046875,"none",14,21.3065584023465
"39","Hemerodromiinae","08ISS4724",-0.111111111111111,-0.0104166666666666,0.521289389519077,21.8124999999999,"none",13,29.1618107769424
"40","Hemerodromiinae","08ISS4730",-0.068421052631579,0,0.681401483669202,0.259615384615384,"none",11,14.4286839971623
"41","Hemerodromiinae","08ISS4735",0.0181818181818182,0,1,0,"none",3,2.71506211180125
"42","Hemerodromiinae","08ISS4748",-0.169117647058824,0,0.336053204200977,0.138888888888889,"none",9,11.1359126984127
"43","Hemerodromiinae","08ISS4884",0.241666666666667,0,0.122284263499458,0,"none",5,3.8530701754386
"44","Hemerodromiinae","08LAK2827",-0.315789473684211,0,0.0309487876654509,0,"negative",7,6.42073934837092
"45","Hemerodromiinae","08LAK3121",-0.345454545454545,-0.0727163461538463,0.161124949289052,146.705288461539,"none",10,13.5270873734109
"46","Hemerodromiinae","08LAK3540",0.064327485380117,0.155208333333333,0.72644698403686,-307.746874999999,"none",18,136.767992424242
"47","Hemerodromiinae","08LAK3616",-0.290909090909091,-0.597222222222222,0.241476919938532,1205.22222222222,"none",9,102.43547666102
"48","Hemerodromiinae","08LAK3627",-0.441176470588235,-1.09562937062938,0.0150836225946948,2217.91571618038,"negative",16,354.384401199056
"49","Hemerodromiinae","08LAK3628",-0.347368421052632,-0.234375,0.0321765456817476,473.4140625,"negative",14,94.3401313598682
"50","Hemerodromiinae","08LAK3699",0.065359477124183,0,0.727805020319105,1.09375,"none",12,34.8856445089998
"51","Hemerodromiinae","08LAK3879",-0.157142857142857,-0.0571895424836601,0.332641120511055,116.528799019608,"none",18,65.8594158998571
"52","Hemerodromiinae","08LIT2585",0.157142857142857,0.0261437908496733,0.318802457818544,-51.5024509803924,"none",13,46.8887061403509
"53","Hemerodromiinae","08LIT2602",-0.0292397660818713,-0.035714285714286,0.88870559083523,79.1298701298707,"none",18,164.994003350768
"54","Hemerodromiinae","08LIT2603",-0.110526315789474,-0.0503161961495298,0.516191356502079,105.332773322357,"none",19,96.9493529459047
"55","Hemerodromiinae","08LIT2682",0.0285714285714286,0,0.878362559916704,1.53846153846154,"none",15,48.901572039072
"56","Hemerodromiinae","08LIT2685",-0.0261437908496732,-0.02314814814815,0.909334154615461,51.4154411764743,"none",16,105.833896699706
"57","Hemerodromiinae","08LIT2692",-0.111111111111111,0,0.464041868287925,0,"none",7,8.90429197994988
"58","Hemerodromiinae","08LIT2781",-0.295238095238095,0,0.0340147710172598,0,"negative",8,15.5188492063492
"59","Hemerodromiinae","08NOR1362",-0.0818713450292398,-0.1171875,0.648507578177942,240.515625,"none",16,165.944978632479
"60","Hemerodromiinae","08NOR1370",0.0368421052631579,0.0636574074074077,0.845413456867996,-122.549189814815,"none",20,132.333333333333
"61","Hemerodromiinae","08NOR1750",-0.0210526315789474,0,0.92112655543606,0.78125,"none",14,26.5363455988456
"62","Hemerodromiinae","08NOR1756",-0.0363636363636364,0,0.927465122714629,0,"none",4,2.98517786561265
"63","Hemerodromiinae","08NOR2306",-0.176470588235294,-0.09375,0.32215346678533,190.442708333333,"none",15,51.2483974358974
"64","Hemerodromiinae","08SAM0000",0.398692810457516,0.0446428571428571,0.0120416350912452,-89.8660714285714,"positive",8,11.2688873626374
"65","Hemerodromiinae","08SAM1914",-0.141025641025641,0,0.518895154408467,0.125,"none",7,5.0042109929078
"66","Hemerodromiinae","08SAM2674",-0.0735294117647059,0,0.69419627021744,0.125,"none",9,8.66082480737653
"67","Hemerodromiinae","08SAM2855",-0.220588235294118,-0.0549812030075188,0.225571750820508,111.313439849624,"none",12,16.6332633762007
"68","Hemerodromiinae","08SAM2862",-0.0571428571428571,0,0.562833753917326,0,"none",1,0.555555555555556
"69","Hemerodromiinae","08SAM3045",0.155555555555556,0,0.296269871484286,0,"none",1,0.170454545454545
"70","Hemerodromiinae","08SAM3047",0.0588235294117647,0,0.575090569116738,0,"none",2,0.910714285714286
"71","Hemerodromiinae","08WES0622",0.117647058823529,0,0.317031257171037,0,"none",3,1.81077075098814
"72","Hemerodromiinae","08WES0629",-0.115789473684211,0,0.268824442178595,0,"none",3,6.1125
"73","Hemerodromiinae","08WES0903",-0.0233918128654971,-0.010180995475112,0.91622264050081,21.6074660633461,"none",16,27.2576702193575
"74","Hemerodromiinae","08WES0905",0.308823529411765,0,0.022045331244995,0,"positive",4,1.8081983805668
"75","Hemerodromiinae","08WES1037",-0.0849673202614379,0,0.642354152461359,0.220588235294118,"none",12,7.99515332448769
"76","Hemerodromiinae","08WES1178",0.104575163398693,0,0.540740792314693,0.166666666666666,"none",9,7.45535714285714
"77","Hemerodromiinae","08WES1340",0.183823529411765,0,0.243984526827356,0,"none",6,3.44372294372294
"78","Hemerodromiinae","08WES1490",-0.318681318681319,-0.0317460317460317,0.0873936256515507,63.9206349206348,"none",6,10.1078869047619
"79","Hemerodromiinae","08WES1579",0.0897435897435897,0,0.555664374922883,0,"none",2,0.939685314685314
"80","Hemerodromiinae","09BLA0675",0.0549450549450549,0,0.818643477870626,0.322916666666667,"none",8,7.54662698412698
"81","Hemerodromiinae","09BLA0716",-0.111111111111111,-0.0224867724867724,0.524085727380489,46.1749639249638,"none",14,32.8275703463203
"82","Hemerodromiinae","09BLA0722",0.458333333333333,0.192574786324786,0.012273209274937,-386.463007478631,"positive",10,47.1785714285714
"83","Hemerodromiinae","09BLA0756",0.0333333333333333,0,0.841364589443138,0,"none",3,1.72371031746032
"84","Hemerodromiinae","09BLA0768",-0.116666666666667,-0.066594827586207,0.558350909375985,136.144710031348,"none",15,59.3189813746972
"85","Hemerodromiinae","09BLA0771",0.342857142857143,0.025062656641604,0.0584133134643883,-50.4511278195489,"none",7,6.33630952380953
"86","Hemerodromiinae","09BLA0772",-0.209150326797386,-0.0296143250688705,0.229896762023776,60.191009747828,"none",12,18.6217795362532
"87","Hemerodromiinae","09BLA0817",-0.176470588235294,0,0.235984121128496,0,"none",5,5.2202380952381
"88","Hemerodromiinae","09COV1165",-0.175438596491228,-0.0961538461538462,0.305017780107866,195.057692307692,"none",14,46.5757575757576
"89","Hemerodromiinae","09COV1418",0.157894736842105,0,0.266563811988393,0,"none",7,24.7767857142857
"90","Hemerodromiinae","09COV1756",0.0571428571428571,0,0.654275264204004,0,"none",5,6.0625
"91","Hemerodromiinae","09COV1862",0.0849673202614379,0,0.602537006105314,0,"none",7,9.55357142857143
"92","Hemerodromiinae","09COV1864",0.283333333333333,0,0.0488631747413296,0,"positive",4,2.28125
"93","Hemerodromiinae","09DEE2163",-0.529411764705882,-0.3125,0.00212895924124212,630.78125,"negative",13,71.241682201241
"94","Hemerodromiinae","09DEE2208",-0.10952380952381,0,0.444262638427896,0,"none",8,19.7857142857143
"95","Hemerodromiinae","09DEE2211",0.0583333333333333,0.0104166666666667,0.784990634923833,-18.4895833333333,"none",12,66.2042332667333
