"","Site.Code","Subbasin","slope_Overall.Score","LRpval_Overall.Score","LRtrend_Overall.Score","MKtau_Overall.Score","MKSlope_Overall.Score","MKpval_Overall.Score","MKinter_Overall.Score","MKtrend_Overall.Score","slope_Tot_Richness_Score","LRpval_Tot_Richness_Score","LRtrend_Tot_Richness_Score","MKtau_Tot_Richness_Score","MKSlope_Tot_Richness_Score","MKpval_Tot_Richness_Score","MKinter_Tot_Richness_Score","MKtrend_Tot_Richness_Score","slope_E_Richness_Score","LRpval_E_Richness_Score","LRtrend_E_Richness_Score","MKtau_E_Richness_Score","MKSlope_E_Richness_Score","MKpval_E_Richness_Score","MKinter_E_Richness_Score","MKtrend_E_Richness_Score","slope_P_Richness_Score","LRpval_P_Richness_Score","LRtrend_P_Richness_Score","MKtau_P_Richness_Score","MKSlope_P_Richness_Score","MKpval_P_Richness_Score","MKinter_P_Richness_Score","MKtrend_P_Richness_Score","slope_T_Richness_Score","LRpval_T_Richness_Score","LRtrend_T_Richness_Score","MKtau_T_Richness_Score","MKSlope_T_Richness_Score","MKpval_T_Richness_Score","MKinter_T_Richness_Score","MKtrend_T_Richness_Score","slope_Cling_Richness_Score","LRpval_Cling_Richness_Score","LRtrend_Cling_Richness_Score","MKtau_Cling_Richness_Score","MKSlope_Cling_Richness_Score","MKpval_Cling_Richness_Score","MKinter_Cling_Richness_Score","MKtrend_Cling_Richness_Score","slope_LL_Richness_Score","LRpval_LL_Richness_Score","LRtrend_LL_Richness_Score","MKtau_LL_Richness_Score","MKSlope_LL_Richness_Score","MKpval_LL_Richness_Score","MKinter_LL_Richness_Score","MKtrend_LL_Richness_Score","slope_Intol_Richness_Score","LRpval_Intol_Richness_Score","LRtrend_Intol_Richness_Score","MKtau_Intol_Richness_Score","MKSlope_Intol_Richness_Score","MKpval_Intol_Richness_Score","MKinter_Intol_Richness_Score","MKtrend_Intol_Richness_Score","slope_Dom_Percent_Score","LRpval_Dom_Percent_Score","LRtrend_Dom_Percent_Score","MKtau_Dom_Percent_Score","MKSlope_Dom_Percent_Score","MKpval_Dom_Percent_Score","MKinter_Dom_Percent_Score","MKtrend_Dom_Percent_Score","slope_Pred_Percent_Score","LRpval_Pred_Percent_Score","LRtrend_Pred_Percent_Score","MKtau_Pred_Percent_Score","MKSlope_Pred_Percent_Score","MKpval_Pred_Percent_Score","MKinter_Pred_Percent_Score","MKtrend_Pred_Percent_Score","slope_Tol_Percent_Score","LRpval_Tol_Percent_Score","LRtrend_Tol_Percent_Score","MKtau_Tol_Percent_Score","MKSlope_Tol_Percent_Score","MKpval_Tol_Percent_Score","MKinter_Tol_Percent_Score","MKtrend_Tol_Percent_Score"
"1","05B","Cherry Creek Subbasin",-0.294251022711383,0.616550889683442,"none",-0.244444444444444,-0.429747357939507,0.371093369522698,945.723630272188,"none",-0.0476190476190445,0.516512178230413,"none",-0.222222222222222,-0.0680272108843536,0.397885985641902,146.122448979592,"none",0.0793650793650885,0.236289044817156,"none",0.2,0,0.432028774573647,8.57142857142857,"none",0.0529100529100625,0.416120253506996,"none",0.111111111111111,0,0.654046235169982,10,"none",-0.134259259259266,0.328220627811826,"none",-0.288888888888889,-0.192307692307692,0.269969610114406,393.75,"none",-0.119825708061021,0.275064447748872,"none",-0.311111111111111,-0.168067226890756,0.239209596584747,345.420168067226,"none",-0.148148148148146,0.243139555279959,"none",-0.311111111111111,-0.208333333333333,0.226085875984,426.041666666667,"none",-0.20634920634921,0.0716671335323063,"none",-0.466666666666667,-0.25974025974026,0.0659807772160372,531.233766233767,"none",0.123889971843209,0.342967165983517,"none",0.222222222222222,0.107212475633528,0.418961725159341,-208.606237816764,"none",0.10884773662551,0.43126892301756,"none",0.311111111111111,0.128205128205128,0.243034960294523,-251.666666666667,"none",-0.00306249401856562,0.561283591793646,"none",-0.0888888888888889,0,0.783604212151156,9.89664082687339,"none"
"11","08BEA3312","Bear Creek Subbasin",-0.431437626540767,0.428013460336468,"none",-0.163398692810458,-0.551193096948728,0.363315909666391,1165.43162971579,"none",0.000731756398305952,0.992910138690648,"none",0.0261437908496732,0,0.908853402632924,5.23809523809524,"none",-0.0985127051204665,0.185815952278695,"none",-0.26797385620915,-0.109890109890109,0.116007912212988,225.329670329669,"none",-0.0436309752483343,0.465746230102757,"none",-0.0784313725490196,0,0.651747786482043,5.71428571428571,"none",-0.0189684978870474,0.764634482389215,"none",-0.0522875816993464,0,0.781566988950256,5,"none",-0.0461006530925818,0.542046729762977,"none",-0.209150326797386,-0.0735294117647056,0.233831143521557,153.198529411764,"none",-0.0422589320015315,0.621714196970506,"none",-0.150326797385621,0,0.35609645539058,5,"none",-0.119916579770599,0.0387872055816719,"negative",-0.333333333333333,-0.0952380952380953,0.0445808091090513,193,"negative",0.120856950931582,0.30391983267425,"none",0.156862745098039,0.0389863547758286,0.373759677602144,-69.7660818713453,"none",-0.0590451188799219,0.633613663740152,"none",-0.0522875816993464,0,0.784083767929531,8.22222222222222,"none",-0.124592871870169,0.0636883372103302,"none",-0.320261437908497,-0.0689061154177433,0.0681147544077708,147.803617571059,"none"
"29","08BEA3321","Bear Creek Subbasin",0.165807702640318,0.710686007356106,"none",0.0545454545454545,0.155225433521208,0.876269663627762,-248.974919005845,"none",0.0245042314007851,0.749384913969496,"none",-0.0181818181818182,0,1,5.71428571428571,"none",-0.00416824554755564,0.9486871997212,"none",-0.0545454545454545,0,0.866244706394698,2.85714285714286,"none",-0.0799545282303887,0.216608388747838,"none",-0.327272727272727,0,0.138963985312783,7.14285714285714,"none",-0.026193633952251,0.766016477847482,"none",0.0909090909090909,0,0.743143971884306,5,"none",-0.0132625994694929,0.852035755174924,"none",-0.0363636363636364,0,0.936855918891782,5.29411764705882,"none",0.110079575596816,0.277280747939682,"none",0.236363636363636,0.0833333333333333,0.329859194655477,-159.416666666667,"none",-0.0757862826828331,0.153896932936334,"none",-0.290909090909091,0,0.131017622692167,2.85714285714286,"none",0.0635208711433756,0.35432054761936,"none",0.127272727272727,0.0519818063677723,0.635608078972858,-96.5367121507492,"none",0.142558208075448,0.0308754793517841,"positive",0.327272727272727,0.0763888888888887,0.145896915994556,-144.152777777777,"none",0.0245101063064174,0.257068545554932,"none",0.363636363636364,0.0344530577088733,0.137901601482137,-59.9397071490128,"none"
"40","08BEA3474","Bear Creek Subbasin",1.2088836547786,0.00549993731673441,"positive",0.437908496732026,1.17329027082069,0.0124218457338865,-2322.3085995312,"positive",0.22932093040952,0.00104648112835818,"positive",0.516339869281046,0.222222222222222,0.00286673248945972,-442.460317460317,"positive",-0.000713358348439876,0.992781107479539,"none",0.0130718954248366,0,0.968583327357943,2.85714285714286,"none",-0.0443708892725273,0.538586757876732,"none",-0.0980392156862745,0,0.56965832151567,1.42857142857143,"none",0.309472685508849,0.000447344089262796,"positive",0.588235294117647,0.3125,0.000592654845797549,-625.15625,"positive",0.230758837041259,0.00140072740629678,"positive",0.470588235294118,0.226244343891403,0.00663252475111637,-449.140271493213,"positive",0.0724058723659252,0.260135914620365,"none",0.156862745098039,0,0.355382589596877,3.75,"none",-0.0098443452083735,0.762525653535421,"none",-0.0326797385620915,0,0.779258780147584,0,"none",0.270005717713167,0.0280931104482337,"positive",0.326797385620915,0.23391812865497,0.0628834654486964,-463.742690058479,"none",0.0628682712473854,0.108660816191364,"none",0.38562091503268,0.051851851851852,0.025952004490147,-104.018518518519,"positive",0.0889799333218407,0.330747183084146,"none",0.124183006535948,0.117453605825699,0.495366298803089,-230.716466995537,"none"
"58","08BEA3478","Bear Creek Subbasin",-0.654919802969614,0.43799825281498,"none",-0.272727272727273,-1.01304656229417,0.275757847827509,2097.98104719924,"none",-0.0668487227627006,0.710401573985369,"none",-0.0181818181818182,0,1,6.66666666666667,"none",-0.313193377709508,0.0687329377643804,"none",-0.363636363636364,-0.285714285714284,0.125753667043742,579.714285714282,"none",-0.168117426181942,0.418930290717698,"none",-0.218181818181818,0,0.363722327380711,5.71428571428571,"none",-0.164277180406213,0.297796781915825,"none",-0.2,0,0.397462270804582,5,"none",-0.141260805397428,0.324950262060233,"none",-0.181818181818182,-0.073529411764705,0.472115093867989,154.191176470586,"none",-0.0724313022700111,0.655970777557938,"none",-0.0909090909090909,0,0.743143971884306,7.5,"none",-0.0878989588667019,0.292666933178241,"none",-0.236363636363636,0,0.267257493154388,1.42857142857143,"none",0.215263367498797,0.280126641643147,"none",0.2,0.0194931773879144,0.411605925817769,-29.3372319688112,"none",0.144431169520776,0.348409666992834,"none",0.218181818181818,0.11111111111111,0.390364962548806,-216.944444444442,"none",-0.000586566394684711,0.989944363786004,"none",-0.0909090909090909,-0.0147655961609442,0.754049574715229,39.0439276485772,"none"
"69","08BEA3571","Bear Creek Subbasin",-0.0347190607470938,0.914265975129392,"none",-0.0526315789473684,-0.114306273583997,0.770287726473667,268.98391747603,"none",0.0497762199889912,0.331083431071886,"none",0.236842105263158,0.0657596371882084,0.148123908609855,-129.007936507936,"none",-0.0491068576174926,0.388092421002554,"none",-0.184210526315789,0,0.240284098072019,2.85714285714286,"none",0.00848873189298792,0.884532421099595,"none",0.0263157894736842,0,0.890467343312463,5.71428571428571,"none",0.0698837135007401,0.18616091629842,"none",0.194736842105263,0,0.211911867825461,2.5,"none",-0.0260460711023916,0.455247858540446,"none",-0.068421052631579,0,0.688224854688109,3.52941176470588,"none",0.0083860456200864,0.866233284217251,"none",0.110526315789474,0,0.486937495292727,3.125,"none",0.0133263963051206,0.768537002717806,"none",0.0421052631578947,0,0.807798709019586,1.42857142857143,"none",0.0910727823755079,0.239769123382451,"none",0.247368421052632,0.0755360623781677,0.134417142374356,-143.39059454191,"none",-0.0131478996727245,0.651740134992997,"none",-0.0631578947368421,-0.017195767195767,0.719664112950361,36.8842592592589,"none",-0.18735212203792,0.0255358105350525,"negative",-0.436842105263158,-0.205103359173127,0.00777165089612235,417.757590439276,"negative"
"89","08BEA3650","Bear Creek Subbasin",0.445146003196391,0.133171804297974,"none",0.210526315789474,0.466418879038579,0.205754101273055,-875.888635338972,"none",0.100523412805061,0.110138036786781,"none",0.231578947368421,0.0736961451247167,0.156887412795324,-141.72052154195,"none",0.0477982109264017,0.369728417660621,"none",0.210526315789474,0,0.181681504494221,5.71428571428571,"none",0.152992667101777,0.054787529354742,"none",0.305263157894737,0.178571428571428,0.0584501893795378,-353.124999999998,"none",0.0838148347218539,0.13955073152688,"none",0.205263157894737,0.0737847222222222,0.203169993559069,-142.315538194444,"none",0.0582544224354646,0.128154599993165,"none",0.173684210526316,0.0477463712757833,0.290633414693513,-87.9020244461426,"none",0.044678849771568,0.557258963211409,"none",0.136842105263158,0.0297619047619048,0.407593789752915,-53.0505952380952,"none",0.126886013744388,0.0151850416527678,"positive",0.357894736842105,0.11988011988012,0.0216598344882673,-238.521478521479,"positive",0.0010686934122934,0.984274271259102,"none",-0.00526315789473684,0,1,10,"none",-0.0839977305981169,0.296955484896698,"none",-0.110526315789474,-0.055555555555555,0.515748631077223,115.416666666666,"none",-0.0868733711243004,0.159330318187456,"none",-0.147368421052632,-0.0810429880197331,0.381032385484343,171.216232088327,"none"
"109","08BEA3737","Bear Creek Subbasin",1.10271475803687,0.00389819599193366,"positive",0.43859649122807,1.24661701119089,0.00962740239307892,-2440.03281878506,"positive",0.259733756804507,0.00249388732635781,"positive",0.461988304093567,0.275689223057644,0.0061635661969393,-547.81954887218,"positive",0.0569754715766503,0.373424103402878,"none",0.157894736842105,0,0.342531684490323,5.71428571428571,"none",0.165883388055533,0.00210066500391679,"positive",0.450292397660819,0.158730158730159,0.0054035654012452,-312.380952380953,"positive",0.0175567072254794,0.706001510590587,"none",0.0409356725146199,0,0.82138833066284,5,"none",0.19740388268872,0.000805522359169081,"positive",0.444444444444444,0.196078431372549,0.0078794547504294,-387.058823529412,"positive",0.248798257473329,0.0049011523290716,"positive",0.421052631578947,0.234375,0.0109129701459184,-463.046875,"positive",0.07307023755875,0.20894439692896,"none",0.157894736842105,0,0.329749104885293,4.28571428571429,"none",0.0424606908086871,0.39350219178572,"none",0.269005847953216,0.0233918128654981,0.105471666921788,-37.6725146198851,"none",0.0742451554754503,0.0363559825782648,"positive",0.192982456140351,0,0.0339384150680828,10,"positive",-0.0334127896302306,0.0546246665657501,"none",-0.374269005847953,-0.0328870096311955,0.0269822346890359,75.6330749354001,"negative"
"128","08BEA3747","Bear Creek Subbasin",0.0199180211131525,0.952984447899179,"none",-0.0761904761904762,-0.217150084227895,0.650581986958389,489.838114973647,"none",0.0529785005852289,0.281389369850222,"none",0.0523809523809524,0,0.756381477621356,5.71428571428571,"none",0.0107525075183549,0.863976191175034,"none",0.0571428571428571,0,0.7257488692937,4.28571428571429,"none",-0.0157087414525981,0.840784944144186,"none",-0.0333333333333333,0,0.852473997861653,5.71428571428571,"none",0.0922468540515136,0.166796682433945,"none",0.2,0,0.184368461028431,6.25,"none",0.057246231433889,0.280589684186154,"none",0.0857142857142857,0,0.599142840068593,5.88235294117647,"none",-0.0157297424438437,0.79666339828156,"none",-0.0285714285714286,0,0.876708661734558,3.75,"none",0.0353656692595891,0.508269703242975,"none",0.0952380952380952,0,0.549279626748763,4.28571428571429,"none",-0.0462341120746503,0.624704062102606,"none",-0.1,-0.0774597311993434,0.545334357501018,161.540473991997,"none",-0.0723796829877044,0.16687517159706,"none",-0.223809523809524,-0.0686728395061724,0.163850995636973,141.627314814814,"none",-0.0786194627766284,0.0581318669717861,"none",-0.328571428571429,-0.0588849135360764,0.0399440010866675,127.139982110912,"negative"
"149","08BEA3826","Bear Creek Subbasin",0.362207285624182,0.283574177208743,"none",0.189542483660131,0.343103051093958,0.288882804027164,-618.887719837016,"none",0.0303540723584986,0.685058212075928,"none",0.0980392156862745,0.0396825396825391,0.59180736710076,-72.2817460317449,"none",-0.029213601431724,0.717469076432539,"none",-0.0915032679738562,0,0.606403785109175,5,"none",0.0200021054847922,0.719512671763443,"none",-0.0065359477124183,0,1,10,"none",0.224990788504061,0.00244337093668467,"positive",0.483660130718954,0.227272727272727,0.00475696799219552,-451.363636363636,"positive",0.00877801378472881,0.880677701316955,"none",0.0326797385620915,0,0.875739386950918,6.47058823529412,"none",0.0619473102431827,0.213663736745319,"none",0.137254901960784,0,0.397884250878506,10,"none",0.0736919675755336,0.26811105615634,"none",0.281045751633987,0.0952380952380953,0.0898169627135297,-185.333333333334,"none",-0.0165483716660937,0.850166402351536,"none",-0.0392156862745098,-0.0167084377610685,0.849681746289072,40.3675856307419,"none",-0.0577049046098399,0.626449048492512,"none",-0.0784313725490196,0,0.661372658593751,9.55555555555556,"none",0.0459099053810415,0.166511368353414,"none",0.0522875816993464,0,0.787854184385416,9.76744186046512,"none"
