"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"1","Hemerodromiinae","Bear Creek Subbasin",-0.166666666666667,-0.0513157894736842,0.291979651427568,109.298684210526,"none",21,115
"2","Hemerodromiinae","Black River Subbasin",0.128571428571429,0,0.422996413201331,3,"none",20,74
"3","Hemerodromiinae","Coal Creek (Cedar) Subbasin",0.0849673202614379,0,0.611983948018563,0.5,"none",9,11
"4","Hemerodromiinae","Coal Creek (Green) Subbasin",-0.0857142857142857,0,0.5773550854717,1,"none",12,16
"5","Hemerodromiinae","Covington Creek Subbasin",0.328571428571429,0.0690476190476191,0.0270717774424052,-137.992857142857,"positive",20,37
"6","Hemerodromiinae","Deep Creek Subbasin",-0.215789473684211,0,0.141355889056257,1,"none",18,25
"7","Hemerodromiinae","Duwamish River Subbasin",0.0818713450292398,0,0.622844871197147,1,"none",12,16
"8","Hemerodromiinae","E Lake Sammamish Subbasin",-0.147619047619048,0,0.330813872725653,3,"none",21,66
"9","Hemerodromiinae","E Lake Washington - Kenmore N Subbasin",0.0980392156862745,0,0.536499469319456,0.5,"none",9,9
"10","Hemerodromiinae","E Lake Washington - Kenmore S Subbasin",-0.0166666666666667,0,0.951650769902002,0,"none",4,4
"11","Hemerodromiinae","Evans Creek Subbasin",-0.0619047619047619,0,0.690187978353886,2,"none",21,45
"12","Hemerodromiinae","Forbes Creek Subbasin",-0.219047619047619,0,0.0631865750699563,0,"none",5,5
"13","Hemerodromiinae","Issaquah Creek Subbasin",0.257142857142857,0.105263157894737,0.0966886008367874,-206.894736842105,"none",21,111
"14","Hemerodromiinae","Jenkins Creek Subbasin",-0.0473684210526316,0,0.765118995527355,1,"none",15,18
"15","Hemerodromiinae","Kelsey Creek Subbasin",0.1,0,0.474956623045436,0,"none",8,9
"16","Hemerodromiinae","Little Bear Creek Subbasin",-0.414285714285714,-0.111111111111111,0.00667203234589177,227.666666666667,"negative",21,96
"17","Hemerodromiinae","Lower Cedar River Subbasin",-0.0476190476190476,0,0.774700749909802,2,"none",20,50
"18","Hemerodromiinae","Lower Green River - E Subbasin",-0.123809523809524,0,0.411500806439046,1,"none",16,22
"19","Hemerodromiinae","Lower Green River - W Subbasin",0.0380952380952381,0,0.859683795198666,1,"none",9,9
"20","Hemerodromiinae","Lyon Creek Subbasin",0.323529411764706,0,0.0149166812788719,0,"positive",4,4
"21","Hemerodromiinae","May Creek Subbasin",0.133333333333333,0,0.383193627670861,2,"none",21,44
"22","Hemerodromiinae","McAleer Creek Subbasin",-0.116959064327485,0,0.288175633383966,1,"none",16,16
"23","Hemerodromiinae","Middle Green River Subbasin",-0.0476190476190476,0,0.776957563716535,3,"none",21,63
"24","Hemerodromiinae","Mill Creek Subbasin",-0.019047619047619,0,0.917882407007214,1,"none",20,30
"25","Hemerodromiinae","Miller Creek Subbasin",0.115384615384615,0,0.592704736331612,2,"none",12,20
"26","Hemerodromiinae","Newaukum Creek Subbasin",-0.0904761904761905,0,0.557069803129721,3,"none",21,66
"27","Hemerodromiinae","North Creek Subbasin",-0.0368421052631579,0,0.821718883800873,2,"none",19,33
"28","Hemerodromiinae","S Fork Snoqualmie Subbasin",-0.244444444444444,0,0.326023046425851,1,"none",7,9
"29","Hemerodromiinae","Sammamish River Subbasin",0.233333333333333,0.0588235294117647,0.132284645410869,-116.411764705882,"none",19,40
"30","Hemerodromiinae","Soos Creek Subbasin",0.114285714285714,0,0.469972994865658,3,"none",21,66
"31","Hemerodromiinae","Swamp Creek Subbasin",0.238095238095238,0,0.0564788495475346,2,"none",21,36
"32","Hemerodromiinae","Thornton Creek Subbasin",-0.1,0,0.340761847714093,0,"none",3,3
"33","Hemerodromiinae","Tibbetts Creek Subbasin",-0.205263157894737,0,0.141788073848303,1,"none",17,21
"34","Hemerodromiinae","Upper Cedar River Subbasin",0.0915032679738562,0,0.490010252534662,0,"none",4,4
"35","Hemerodromiinae","Vashon-Maury Island Subbasin",0.264705882352941,0,0.105689415629003,2,"none",17,38
"36","Hemerodromiinae","W Lake Sammamish Subbasin",-0.192982456140351,0,0.202937336994856,1,"none",14,17
"37","Hemerodromiinae","W Lake Washington - Seattle N Subbasin",0.0980392156862745,0,0.406941216918031,0,"none",3,3
"38","Hemerodromiinae","W Lake Washington - Seattle S Subbasin",0,0,1,1,"none",17,26
"39","Kogotus.Rickera.Cultus","Bear Creek Subbasin",0.323809523809524,0.105555555555556,0.0358577099449085,-209.483333333333,"positive",20,67
"40","Kogotus.Rickera.Cultus","Black River Subbasin",-0.10952380952381,0,0.485961145491131,2,"none",20,53
"41","Kogotus.Rickera.Cultus","Coal Creek (Cedar) Subbasin",0.477124183006536,0.0909090909090909,0.00349149179732831,-182.136363636364,"positive",11,16
"42","Kogotus.Rickera.Cultus","Coal Creek (Green) Subbasin",0.119047619047619,0,0.426014742594248,1,"none",12,15
"43","Kogotus.Rickera.Cultus","Covington Creek Subbasin",0.10952380952381,0,0.490848877519657,1,"none",15,29
"44","Kogotus.Rickera.Cultus","Deep Creek Subbasin",-0.0157894736842105,0,0.937616424346327,0,"none",7,8
"45","Kogotus.Rickera.Cultus","Duwamish River Subbasin",-0.0350877192982456,0,0.648076868139146,0,"none",1,1
"46","Kogotus.Rickera.Cultus","E Lake Sammamish Subbasin",0.0571428571428571,0,0.708449567947197,0,"none",10,12
"47","Kogotus.Rickera.Cultus","E Lake Washington - Kenmore N Subbasin",-0.0457516339869281,0,0.563099862448737,0,"none",1,1
