"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"1","Bear Creek Subbasin","Hemerodromiinae",0.348068977843976,0,-0.0548872180451128,"none",115,784.206381808266
"2","Black River Subbasin","Hemerodromiinae",0.86890693688761,0,0.0108267716535433,"none",74,178.773787606477
"3","Coal Creek (Cedar) Subbasin","Hemerodromiinae",0.968776365546103,0,-0.0091324200913242,"none",11,5.71420987003081
"4","Coal Creek (Green) Subbasin","Hemerodromiinae",0.755017282884086,0,-0.0341207349081365,"none",16,31.6898709842789
"5","Covington Creek Subbasin","Hemerodromiinae",0.281105815147857,0,0.0699052132701422,"none",37,89.2498647186147
"6","Deep Creek Subbasin","Hemerodromiinae",0.0322330563160744,-0.191071428571428,-0.271062271062271,"negative",25,137.445915467974
"7","Duwamish River Subbasin","Hemerodromiinae",0.42283141281985,0,-0.0994764397905759,"none",16,40.3332166199813
"8","E Lake Sammamish Subbasin","Hemerodromiinae",0.0119241107238,-0.15,-0.209335219236209,"negative",66,651.351940883024
"9","E Lake Washington - Kenmore N Subbasin","Hemerodromiinae",0.540740792314693,0,0.104575163398693,"none",9,7.45535714285714
"10","E Lake Washington - Kenmore S Subbasin","Hemerodromiinae",0.765358157591117,0,-0.05,"none",4,2.27717391304348
"11","Evans Creek Subbasin","Hemerodromiinae",0.857483496355423,0,-0.0198300283286119,"none",45,135.117376089372
"12","Forbes Creek Subbasin","Hemerodromiinae",0.0556892966853413,0,-0.228571428571429,"none",5,6.37430006587615
"13","Issaquah Creek Subbasin","Hemerodromiinae",0.836769383612168,0,-0.0118881118881119,"none",111,726.760276933614
"14","Jenkins Creek Subbasin","Hemerodromiinae",0.365892313091183,0,-0.0991253644314869,"none",18,62.2958603896104
"15","Kelsey Creek Subbasin","Hemerodromiinae",0.085182316610239,0,0.171875,"none",9,19.8564958592133
"16","Little Bear Creek Subbasin","Hemerodromiinae",0.358948340745302,0,-0.0547528517110266,"none",96,487.9906723621
"17","Lower Cedar River Subbasin","Hemerodromiinae",0.00574801276637227,0,-0.191279887482419,"negative",50,136.953257159507
"18","Lower Green River - E Subbasin","Hemerodromiinae",0.252598967635291,0,-0.127167630057803,"none",22,56.1580975290071
"19","Lower Green River - W Subbasin","Hemerodromiinae",0.681122105715728,0,-0.0857142857142857,"none",9,28.5472374847375
"20","Lyon Creek Subbasin","Hemerodromiinae",0.0220453312449951,0,0.308823529411765,"positive",4,1.8081983805668
"21","May Creek Subbasin","Hemerodromiinae",0.0820734636479925,-0.0304487179487175,-0.170626349892009,"none",44,175.687233598146
"22","McAleer Creek Subbasin","Hemerodromiinae",0.91622264050081,-0.010180995475112,-0.0233918128654971,"none",16,27.2576702193575
"23","Middle Green River Subbasin","Hemerodromiinae",0.00832497258981246,-0.00961538461538462,-0.18233295583239,"negative",63,181.394930519493
"24","Mill Creek Subbasin","Hemerodromiinae",0.980398974004948,0,-0.00578034682080925,"none",30,173.678752845452
"25","Miller Creek Subbasin","Hemerodromiinae",0.788790104270087,0,0.0374331550802139,"none",20,69.03542229829
"26","Newaukum Creek Subbasin","Hemerodromiinae",0.317086865635492,0,-0.0760998810939358,"none",66,197.829964833601
"27","North Creek Subbasin","Hemerodromiinae",0.441462371407228,0,-0.0829145728643216,"none",33,80.7699209003557
"28","S Fork Snoqualmie Subbasin","Hemerodromiinae",0.720984861901671,0,-0.0666666666666667,"none",9,12.9107142857143
"29","Sammamish River Subbasin","Hemerodromiinae",0.686717902889213,0,0.0248138957816377,"none",40,43.2039109258468
"30","Soos Creek Subbasin","Hemerodromiinae",0.718854054542391,0,0.0243407707910751,"none",66,172.541018108119
"31","Swamp Creek Subbasin","Hemerodromiinae",0.886285563572488,-0.0260416666666667,-0.0193905817174515,"none",36,298.278311965812
"32","Thornton Creek Subbasin","Hemerodromiinae",0.268824442178595,0,-0.115789473684211,"none",3,6.1125
"33","Tibbetts Creek Subbasin","Hemerodromiinae",0.862435741701782,0,-0.0288461538461538,"none",21,137.32112117002
"34","Upper Cedar River Subbasin","Hemerodromiinae",0.495232639428152,0,0.0915032679738562,"none",4,1.75069705513785
"35","Vashon-Maury Island Subbasin","Hemerodromiinae",0.0758138704590972,-0.142857142857143,-0.217391304347826,"none",38,161.406278058852
"36","W Lake Sammamish Subbasin","Hemerodromiinae",0.00939016815928873,-0.0142361111111111,-0.323008849557522,"negative",17,19.9478267217818
"37","W Lake Washington - Seattle N Subbasin","Hemerodromiinae",0.317031257171037,0,0.117647058823529,"none",3,1.81077075098814
"38","W Lake Washington - Seattle S Subbasin","Hemerodromiinae",0.814038939793771,0,-0.0218340611353712,"none",26,22.4864484876578
"39","Bear Creek Subbasin","Kogotus.Rickera.Cultus",0.494113942363672,0,0.0353383458646617,"none",67,109.215794835157
"40","Black River Subbasin","Kogotus.Rickera.Cultus",0.381539463088832,0,-0.0423228346456693,"none",53,214.471653800338
"41","Coal Creek (Cedar) Subbasin","Kogotus.Rickera.Cultus",0.0331152468037945,0.005661231884058,0.269406392694064,"positive",16,9.29069270101878
"42","Coal Creek (Green) Subbasin","Kogotus.Rickera.Cultus",0.290552736536611,0,0.10761154855643,"none",15,41.8082479203803
"43","Covington Creek Subbasin","Kogotus.Rickera.Cultus",0.781413728017636,0,0.0177725118483412,"none",29,43.2149278107513
"44","Deep Creek Subbasin","Kogotus.Rickera.Cultus",0.933297028317732,0,-0.010989010989011,"none",8,21.2128517307146
"45","Duwamish River Subbasin","Kogotus.Rickera.Cultus",0.619796388494133,0,-0.0261780104712042,"none",1,0.333333333333333
"46","E Lake Sammamish Subbasin","Kogotus.Rickera.Cultus",0.884498760691612,0,-0.00848656294200849,"none",12,28.6493824802648
"47","E Lake Washington - Kenmore N Subbasin","Kogotus.Rickera.Cultus",0.563099862448737,0,-0.0457516339869281,"none",1,1.25
"48","E Lake Washington - Kenmore S Subbasin","Kogotus.Rickera.Cultus",0.0421983166203195,0.0375,0.366666666666667,"positive",9,5.41628108733372
"49","Evans Creek Subbasin","Kogotus.Rickera.Cultus",0.627625805028359,0,-0.0424929178470255,"none",24,27.6252163224981
"50","Forbes Creek Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"51","Issaquah Creek Subbasin","Kogotus.Rickera.Cultus",0.436399588646925,0,0.0342657342657343,"none",48,106.792000865557
"52","Jenkins Creek Subbasin","Kogotus.Rickera.Cultus",0.263787822684378,0,0.116618075801749,"none",14,23.0716804101197
"53","Kelsey Creek Subbasin","Kogotus.Rickera.Cultus",0.0161218212740573,0,0.22265625,"positive",5,5.23494318181818
"54","Little Bear Creek Subbasin","Kogotus.Rickera.Cultus",0.10774450448406,0,0.085171102661597,"none",60,109.05033196071
"55","Lower Cedar River Subbasin","Kogotus.Rickera.Cultus",0.775309342879479,0,-0.0210970464135021,"none",53,93.9645745973229
"56","Lower Green River - E Subbasin","Kogotus.Rickera.Cultus",0.36031246719587,0,0.0722543352601156,"none",6,5.68870192307692
"57","Lower Green River - W Subbasin","Kogotus.Rickera.Cultus",1,0,0,"none",0,0
"58","Lyon Creek Subbasin","Kogotus.Rickera.Cultus",0.205297997302522,0.0415521978021978,0.227941176470588,"none",11,33.070003289624
"59","May Creek Subbasin","Kogotus.Rickera.Cultus",0.238393122970678,0,0.0928725701943845,"none",17,20.3886653414241
"60","McAleer Creek Subbasin","Kogotus.Rickera.Cultus",1,0,-0.00584795321637427,"none",13,12.2657606583303
"61","Middle Green River Subbasin","Kogotus.Rickera.Cultus",0.0397938859553277,0,0.118912797281993,"positive",40,67.1345918658524
"62","Mill Creek Subbasin","Kogotus.Rickera.Cultus",0.784538270555253,0,0.0346820809248555,"none",28,75.8556004914848
"63","Miller Creek Subbasin","Kogotus.Rickera.Cultus",0.423685116458328,0.0441176470588225,0.106951871657754,"none",26,81.4337487267634
"64","Newaukum Creek Subbasin","Kogotus.Rickera.Cultus",0.00327445671952709,0,0.202140309155767,"positive",45,64.5470109013799
"65","North Creek Subbasin","Kogotus.Rickera.Cultus",0.531023155577756,0,0.0603015075376884,"none",19,26.0703699189826
"66","S Fork Snoqualmie Subbasin","Kogotus.Rickera.Cultus",0.589154465450058,0,-0.0888888888888889,"none",7,6.93010602678571
"67","Sammamish River Subbasin","Kogotus.Rickera.Cultus",0.121477695487756,0,0.0707196029776675,"none",30,31.4286613008204
"68","Soos Creek Subbasin","Kogotus.Rickera.Cultus",0.00541331104843312,0,0.172413793103448,"positive",53,143.099094361694
