"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","nyears","mean.proportion","med.proportion"
"1","Hemerodromiinae",-0.0476190476190476,-0.0794380192926999,0.785797106178966,218.090551018023,"none",21,59.5832267999019,58.1818181818182
"2","Kogotus.Rickera.Cultus",0.59047619047619,1.18595910577171,0.000203830273131238,-2348.24477082754,"positive",21,35.552049353988,39.0909090909091
"3","Zapada.Oregonensis.Group",0.0666666666666667,0.0827429861807764,0.694379725321368,-135.429555710205,"none",21,30.2205791628399,31.1320754716981
"4","Zapada.frigida",0.128571428571429,0.00129075817149213,0.421818440104764,-1.68086500655311,"none",14,2.11958701307135,0.966747618158042
"5","Zapada.columbiana",-0.0904761904761905,-0.00692388656303349,0.583708170162313,14.855214844047,"none",16,1.82681049402859,1.86082741907564
"6","Zapada.cinctipes",0.185714285714286,0.267955331705912,0.250965853344113,-452.877228791417,"none",21,86.7716031930551,86.5168539325843
"7","Zapada",0.161904761904762,0,0.231905845279396,0,"none",7,1.43156055683996,0.943396226415094
"8","Zaitzevia",0.738095238095238,0.903038929815869,3.28018010454557e-06,-1787.38258311065,"positive",21,28.4329248560737,30.4347826086957
"9","Yoraperla",0.104761904761905,0.0573778791600573,0.525992485609421,-108.442847219784,"none",21,7.12972200249569,7.05882352941176
"10","Wormaldia",0.39047619047619,0.421373953484044,0.0144470758280581,-820.502996086153,"positive",21,26.2644272829534,27.7227722772277
"11","Visoka.cataractae",-0.233333333333333,-0.0729024688742224,0.146657692630783,148.587532229131,"none",19,2.14949005628242,1.88679245283019
"12","Unionoidea",0.0380952380952381,0,0.755968811417106,0,"none",4,1.5633498930268,1.36780650542118
"13","Ulomorpha",0.542857142857143,0.0788338678002337,0.000286771954785256,-157.823010664479,"positive",11,1.5982883645615,0.99009900990099
"14","Uenoidae",0.0476190476190476,0,0.767981730051602,0,"none",10,2.64212983300683,1.78699641005185
"15","Truncatelloidea",0.352380952380952,0.0954556635660468,0.0243602202960357,-191.131842595187,"positive",14,2.84524476934139,2.36624579889182
"16","Tricorythodes",0.271428571428571,0,0.0328049011068081,0,"positive",6,1.06767645373834,0.91326105087573
"17","Trepaxonemata",0.161904761904762,0.297249120778532,0.31900803011513,-549.271571036276,"none",21,47.6369292690503,49.0909090909091
"18","Tipulidae",-0.1,0,0.521126227985434,0.917431192660551,"none",11,2.92888976625463,2.60869565217391
"19","Tipula",0.361904761904762,0.500210646685324,0.0235268491105104,-983.766137040715,"positive",21,23.3437704367242,23.1578947368421
"20","Timpanoga.hecuba",-0.20952380952381,-0.117342977012788,0.1941266858781,240.51248799556,"none",20,5.02570316622765,4.42326490713588
"21","Thremmatidae",0.276190476190476,0,0.0203096234876068,0,"positive",5,5.01926714666891,4.71698113207547
"22","Thaumaleidae",0.442857142857143,0.260139908477504,0.00544620481664911,-518.533430637011,"positive",20,5.46054892118469,5.17279821627648
"23","Tanyderidae",0.0714285714285714,0,0.402503490374632,0,"none",2,1.37614678899083,1.37614678899083
"24","Taeniopterygidae",-0.0142857142857143,0,0.920311225447017,0,"none",3,1.86328695762658,1.01010101010101
"25","Tabanidae",0.171428571428571,0,0.25126423420748,0,"none",10,1.54429504077717,1.06395019807583
"26","Syrphidae",0.0476190476190476,0,0.457390543168855,0,"none",1,0.943396226415094,0.943396226415094
"27","Sweltsa",-0.114285714285714,-0.104442323543447,0.486952915820679,288.424215474776,"none",21,77.6447512673202,78.1818181818182
"28","Stygobromus",0.195238095238095,0,0.0454102977224784,0,"positive",3,0.950308809658878,0.943396226415094
"29","Stratiomyidae",0.142857142857143,0,0.237743773059486,0,"none",5,1.12936195817955,0.943396226415094
"30","Sphaeriidae",-0.161904761904762,-0.282183311564156,0.31900803011513,619.647909404452,"none",21,51.0822228134946,51.6129032258064
"31","Soyedina",0.0619047619047619,0.0605466269785808,0.716957212755246,-116.37577295192,"none",20,5.92222409857065,5.58248225722694
"32","Skwala",-0.485714285714286,-0.420830561143567,0.00228925857789761,896.22282867291,"negative",21,50.3606495116021,49.0909090909091
"33","Siphlonurus",0.00952380952380952,0,0.934191641443611,0,"none",1,0.909090909090909,0.909090909090909
"34","Simuliidae",0.361904761904762,0.184905371351065,0.023400177345504,-278.57814889333,"positive",21,93.5620446324619,93.6363636363636
"35","Sialis",-0.0523809523809524,-0.0499574607122976,0.762570503253334,103.3945570931,"none",20,3.5448470529229,2.93024585477416
"36","Serratella.micheneri",0.719047619047619,0.134329639163377,2.90233421758195e-06,-269.496472726787,"positive",13,1.79360680513848,1.8348623853211
"37","Serratella.levis",-0.228571428571429,0,0.0369191106326125,0,"negative",4,1.55336756086475,1.53641679957469
"38","Sciomyzidae",-0.0285714285714286,0,0.856264839670248,0,"none",7,0.939512084821348,0.909090909090909
"39","Rhyacophila",0.319047619047619,0.268021705330575,0.0461623127645484,-455.565428679504,"positive",21,83.7219872390504,83.9622641509434
"40","Rhithrogena",0.0238095238095238,0.00988249437222309,0.903698860164958,15.5904097964569,"none",21,34.710693879301,35.4838709677419
"41","Rhabdomastix._.Lurdia._",0.342857142857143,0.0574652303165491,0.0226736274563172,-114.760077434553,"positive",11,2.01285497517809,1.8018018018018
"42","Rhabdomastix",0.019047619047619,0,0.927465122714629,1.01010101010101,"none",17,1.58632565368199,1.35135135135135
"43","Ramellogammarus",0.30952380952381,0.0152433409787213,0.0520203184080737,-29.7414491637508,"none",17,1.18463933088884,0.99009900990099
"44","Ptychoptera",-0.10952380952381,-0.0356163647115747,0.506283734135672,74.3984448671026,"none",21,2.94729276167088,2.7027027027027
"45","Pteronarcys.princeps",0.638095238095238,0.966985904731645,5.18647024285575e-05,-1932.62958274654,"positive",16,13.971708770842,15.3453349489354
"46","Pteronarcys.californica",0.323809523809524,0.0153734426342552,0.0280755200468731,-30.9467400227557,"positive",10,2.11477313981449,1.80999180999181
