"","taxon","slope","inter","pval","trend","samples","sum.taxon"
"as.numeric(year)","Hemerodromiinae",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)273","Kogotus.Rickera.Cultus",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)272","Zapada.Oregonensis.Group",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)271","Zapada.frigida",0.101565187067138,-203.684197873109,0.210115494420995,"none",14,14
"as.numeric(year)270","Zapada.columbiana",-0.0100672657038701,21.4286214648415,0.903093302325261,"none",16,16
"as.numeric(year)269","Zapada.cinctipes",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)268","Zapada",0.105453428416125,-213.031438911169,0.202131197544524,"none",7,7
"as.numeric(year)267","Zaitzevia",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)266","Yoraperla",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)265","Wormaldia",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)264","Visoka.cataractae",0.0115869390825783,-21.0700161864307,0.922833779398847,"none",19,19
"as.numeric(year)263","Unionoidea",0.0523818697786363,-106.91909991327,0.571343784167356,"none",4,4
"as.numeric(year)262","Ulomorpha",0.406046490564255,-817.155636635022,0.0141903054957408,"positive",11,11
"as.numeric(year)261","Uenoidae",0.0712088698269516,-143.437084173944,0.333441473016542,"none",10,10
"as.numeric(year)260","Truncatelloidea",0.450396499520839,-905.008079252013,0.0225384274671437,"positive",14,14
"as.numeric(year)259","Tricorythodes",0.158628548637216,-320.418239543306,0.100926252847337,"none",6,6
"as.numeric(year)258","Trepaxonemata",1.74032379170038e-10,25.5660688982289,0.999999999999982,"none",21,21
"as.numeric(year)257","Tipulidae",0.00518695292082714,-10.3455075573164,0.941244721928763,"none",11,11
