"","taxon","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"1","Hemerodromiinae","0.000213763493744912","0","-0.055019305019305","negative","1277","5373.78298401278"
"2","Kogotus.Rickera.Cultus","5.47237187342731e-07","0","0.0629116511469453","positive","775","1543.07751131169"
"3","Zapada.Oregonensis.Group","0.573507683105916","0","-0.00647285941403588","none","656","2144.21316092186"
"4","Zapada.frigida","0.180296429221264","0","0.00369066545537134","none","31","38.7676228619152"
"5","Zapada.columbiana","0.446081366387788","0","-0.00238473767885533","none","30","139.991760252427"
"6","Zapada.cinctipes","0.407036173493011","0","-0.0131728367022485","none","1868","43132.9787757687"
"7","Zapada","0.190329902420685","0","0.00272541449012037","none","11","174.91464406533"
"8","Zaitzevia","0","0","0.0922666363842834","positive","618","4989.97242990485"
"9","Yoraperla","0.0700617646603308","0","0.009766068589598","none","154","1520.43535665218"
"10","Wormaldia","0.000530876353251886","0","0.0377015671133318","positive","567","3729.37136122565"
"11","Visoka.cataractae","0.403190007800833","0","-0.00232795821031115","none","42","95.746069100516"
"12","Unionoidea","0.336211220238661","0","0.00136270724506019","none","7","7.98863636363636"
"13","Ulomorpha","0.00018328322054062","0","0.00885759709289121","positive","19","8.09084452760371"
"14","Uenoidae","0.871831278074045","0","-0.000567794685441744","none","29","47.1604234098687"
"15","Truncatelloidea","0.00897762030569149","0","0.00914149443561208","positive","43","563.897877861732"
"16","Tropisternus","1","0","0","none","0","0"
"17","Tricorythodes","0.0315784730163562","0","0.00312287076992959","positive","7","22.6666666666667"
"18","Trichoptera","1","0","0","none","0","0"
"19","Trepaxonemata","0.11355350853157","0","0.0215761980467863","none","1030","10106.8513393898"
"20","Tipulidae","0.513304171034827","0","-0.00204406086759028","none","34","29.2571740759241"
"21","Tipula","0.0106034099007735","0","0.0262888939359528","positive","508","471.761319187746"
"22","Timpanoga.hecuba","0.0373258767078128","0","-0.0118101294571883","negative","101","130.518326681602"
"23","Thremmatidae","5.91719196840756e-06","0","0.0132296161707926","positive","27","21.3140194741156"
"24","Thaumaleidae","0.00848773984051854","0","0.0139677492618669","positive","113","130.246470653903"
"25","Tanyderidae","0.182197389197644","0","0.00141948671360436","none","3","1.05545112781955"
"26","Taeniopterygidae","0.559106402129501","0","-0.000908471496706791","none","6","14.6619047619048"
"27","Tabanidae","0.0170345652953088","0","0.00545082898024074","positive","16","11.9676705540836"
"28","Syrphidae","1","0","0","none","1","0.133928571428571"
"29","Sweltsa","0","0","-0.13138769021122","negative","1669","23568.1901494662"
"30","Stygobromus","0.131901963050332","0","0.00147626618214854","none","3","0.895833333333333"
"31","Stratiomyidae","0.843588515112889","0","0.000283897342720872","none","6","2.09641830870279"
"32","Sphaeriidae","5.2874887246368e-07","0","-0.0687031569384511","negative","1090","6902.8012186528"
"33","Soyedina","0.572641511804294","0","-0.00312287076992959","none","123","180.299670268642"
"34","Soliperla","1","0","0","none","0","0"
"35","Skwala","2.55528931347726e-12","0","-0.0928912105382694","negative","1081","5909.8279880496"
"36","Siphlonurus","0.163734354324592","0","-0.00051101521689757","none","1","0.267857142857143"
"37","Simuliidae","1.09206579059773e-05","-0.104166666666673","-0.0705200999318646","negative","2014","108415.102915294"
"38","Sialis","0.60622293307585","0","0.00249829661594367","none","72","77.4611586846751"
"39","Serratella.micheneri","1.09358227096124e-06","0","0.0117533499886441","positive","25","220.742583708394"
"40","Serratella.levis","0.00394369451641685","0","-0.00425846014081308","negative","6","44.617816091954"
"41","Sciomyzidae","0.707660466654553","0","-0.000567794685441744","none","7","3.30983977322987"
"42","Rhyacophila","0.00279652439719147","0","-0.0462752668635022","negative","1805","13739.8617261864"
"43","Rhithrogena","0.0439122889991652","0","-0.0229956847603906","negative","748","18976.3877601742"
"44","Rhabdomastix._.Lurdia._","0.32722035242333","0","0.0019872813990461","none","24","19.0033546840215"
"45","Rhabdomastix","0.346212881630138","0","-0.00193050193050193","none","28","30.5610838386574"
"46","Ramellogammarus","0.110452628756257","0","0.00278219395866455","none","21","2624.23404388805"
"47","Ptychopteridae","1","0","0","none","0","0"
"48","Ptychoptera","0.492594342515509","0","-0.00295253236429707","none","63","104.03162511907"
"49","Pteronarcys.princeps","0","0","0.0795480354303884","positive","238","475.476522914247"
"50","Pteronarcys.californica","0.782234623701461","0","0.000794912559618442","none","21","30.6208179622399"
"51","Pteronarcys","1.12364280768773e-07","0","-0.0290143084260731","negative","102","145.151276002628"
"52","Pteronarcyidae","0.371718167479567","0","0.00170338405632523","none","10","11.4400432900433"
"53","Pteronarcella","0.522138630104457","0","0.00323642970701794","none","93","590.623710544897"
"54","Psychomyia","0.00780019617639449","0","0.00317965023847377","positive","5","3.28422619047619"
"55","Psychoglypha","0.867853057594197","0","-0.000908471496706791","none","106","104.000364784402"
"56","Psychodini","0.164705944380737","0","0.00295253236429707","none","14","8.46159907344117"
"57","Psychodidae","9.1155381021224e-09","0","0.035487167840109","positive","122","549.571862170982"
"58","Pseudostenophylax","1","0","0","none","0","0"
"59","Psephenidae","1","0","0","none","0","0"
"60","Protoptila","8.35109710457527e-05","0","0.00925505337270043","positive","18","114.619679147598"
"61","Prostoma","0","0","0.0751192368839428","positive","152","308.385319447065"
"62","Proclinopyga","1.11022302462516e-15","0","0.0450261185555303","positive","109","132.752135572381"
"63","Polycentropus","0.213008880731786","0","-0.00210084033613445","none","9","6.95673076923078"
"64","Polycentropodidae","0.0176715919536186","0","0.00647285941403588","positive","22","18.1972402597403"
"65","Pleuroceridae","0.00198384193287882","0","0.0165228253463548","positive","169","8049.11272874022"
"66","Plecoptera","0.456250970991622","0","-0.00158982511923688","none","12","60.1830032889816"
"67","Planorbidae","5.12465844160204e-06","0","-0.0421303656597774","negative","378","1346.24786164716"
"68","Piscicolidae","0.735240838735483","0","-0.00051101521689757","none","5","5.13649425287356"
"69","Pilaria","0.128661550447438","0","-0.00295253236429707","none","14","10.159913003663"
"70","Physidae","5.83128631381769e-07","0","-0.0316261639791052","negative","152","356.878567363156"
"71","Philopotamoidea","1","0","0","none","0","0"
"72","Philopotamidae","0.194162890551667","0","0.00352032704973881","none","21","20.2161932144948"
"73","Petrophila","1","0","0","none","0","0"
"74","Perlinodes.aureus","0.108435601949399","0","-0.00153304565069271","none","4","2.84010163014069"
"75","Perlidae","0.364104902570491","0","-0.00414490120372473","none","59","146.057364591219"
"76","Pericomaini","0.000770687998649322","0","-0.0286168521462639","negative","307","1680.97347655558"
"77","Peltoperlidae","0.601249670135047","0","0.00051101521689757","none","3","0.90625"
"78","Peltodytes","0.413141677554514","0","0.000681353622530093","none","2","1.15"
"79","Pedomoecus","1","0","0","none","0","0"
"80","Pediciidae","2.63842642531653e-05","0","0.00715421303656598","positive","11","4.61202028888478"
"81","Pedicia","0.395765687345556","0","-0.00261185555303202","none","33","19.6126283360963"
"82","Parthina","0.910146925075419","0","-0.000227117874176698","none","9","6.27916319829818"
"83","Parapsyche","0.0200628681284656","0","-0.0258346581875994","negative","751","3794.49124897668"
"84","Paraperlinae","0.508121274811259","0","-0.0019872813990461","none","26","53.7430826715101"
"85","Paraperla","0.572858876584818","0","-0.00357710651828299","none","154","338.716433405443"
"86","Paraleptophlebia.Bicornuta.Group","0.00179510649674142","0","0.0128321598909834","positive","52","115.607052669553"
"87","Palaemonidae","0.847156509926603","0","-0.000170338405632523","none","1","2.5"
